"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Sst",2.20398729953175e-56,5.92906980901419,0.232,0.006,6.26946227224803e-52,"12","Sst","Interneuron Marker"
"Npy",2.02430701061235e-64,5.88926452042366,0.258,0.005,5.75834372238788e-60,"12","Npy","Interneuron Marker"
"Crhbp",7.97420971684829e-53,5.79240845024573,0.177,0.002,2.26834369605466e-48,"12","Crhbp","N/A"
"Gad2",4.07764879228632e-70,5.56472694763833,0.247,0.003,1.15992797545377e-65,"12","Gad2","Interneuron Marker"
"Cnr1",2.39205618041104e-26,5.54433673810024,0.106,0.002,6.80444301079723e-22,"12","Cnr1","N/A"
"Gad1",1.99487527682318e-123,5.51614958008204,0.455,0.008,5.67462221245121e-119,"12","Gad1","Interneuron Marker"
"Hcn1",1.34341349877644e-35,5.37527046264874,0.116,0.001,3.82147403861947e-31,"12","Hcn1","N/A"
"Vgf",3.76819854686726e-34,5.37000141624286,0.136,0.003,1.07190175864186e-29,"12","Vgf","N/A"
"Lamp5",4.23282905586084e-29,5.23507314089793,0.116,0.002,1.20407055323018e-24,"12","Lamp5","N/A"
"Serpini1",1.83358042641185e-68,5.19745258916111,0.253,0.004,5.21580288097114e-64,"12","Serpini1","N/A"
"Dpp10",1.53338213032869e-29,4.67995901210997,0.136,0.004,4.36185880793299e-25,"12","Dpp10","N/A"
"Slc32a1",6.61833051983588e-52,4.63356033599872,0.167,0.002,1.88265029967252e-47,"12","Slc32a1","Interneuron Marker"
"Kcnc1",1.23472335626633e-38,4.55072824376807,0.141,0.002,3.51229405923519e-34,"12","Kcnc1","N/A"
"Scn1a",1.6330837894109e-33,4.53063194208786,0.126,0.002,4.64547014735823e-29,"12","Scn1a","N/A"
"Vstm2a",2.5641914963701e-30,4.38201280466382,0.116,0.002,7.2940991305744e-26,"12","Vstm2a","N/A"
"Kcnip4",5.88907257679574e-29,4.33324062000458,0.162,0.008,1.67520558519532e-24,"12","Kcnip4","N/A"
"Plppr4",1.50282107600058e-21,4.29496244704356,0.106,0.004,4.27492483279126e-17,"12","Plppr4","N/A"
"Kcnb1",2.09885605799187e-31,4.26517381548469,0.131,0.003,5.97040594256368e-27,"12","Kcnb1","N/A"
"Tmem130",7.40447450782702e-37,4.21248226825892,0.152,0.003,2.10627681849647e-32,"12","Tmem130","N/A"
"Nrxn3",1.21792123420326e-74,4.18340312918279,0.348,0.012,3.4644987428146e-70,"12","Nrxn3","N/A"
"Nrg3",9.66903331847547e-30,4.18117017693271,0.136,0.004,2.75045321777353e-25,"12","Nrg3","N/A"
"Pclo",5.21968145098294e-31,4.05994797093521,0.152,0.006,1.48479058554661e-26,"12","Pclo","N/A"
"Cygb",3.40071667646066e-31,4.05178174551749,0.126,0.003,9.67367865786e-27,"12","Cygb","N/A"
"Scg2",4.50655611249204e-38,4.0313026057605,0.182,0.006,1.28193495175948e-33,"12","Scg2","N/A"
"Elavl2",1.18043034769595e-38,4.02384836682327,0.177,0.006,3.35785216705589e-34,"12","Elavl2","N/A"
"Gabrg2",6.1929628277936e-23,4.00976951256987,0.101,0.003,1.76165020599417e-18,"12","Gabrg2","N/A"
